,DATE,Instrument,Filter,Object,UT,alpha [deg],Pr [%],P[%],eP [%],theta_r,eTheta,AIRMASS,PsANG [deg],delta
18,2023-01-24,HONIR,R,2001 CC21,18:3--18:4,21.72,0.18,0.38,0.3,-31.32,22.11,1.1--1.2,212.97,0.17
19,2023-01-25,HONIR,R,2001 CC21,17:4--18:0,22.06,0.0,0.0,0.19,45.22,51.96,1.1--1.1,208.52,0.17
8,2023-01-29,MSI,R,2001 CC21,14:35--15:14,24.5,0.3,0.31,0.19,-8.09,17.28,1.0--1.0,191.16,0.16
9,2023-01-29,MSI,V,2001 CC21,15:34--16:45,24.54,0.37,0.45,0.25,-16.69,16.18,1.0--1.0,190.94,0.16
14,2023-02-03,FAPOL,V,2001 CC21,23:01--23:10,30.35,0.75,1.25,1.15,-26.63,26.34,1.2--1.2,170.32,0.15
6,2023-02-09,MSI,R,2001 CC21,13:39--16:18,38.64,1.19,1.22,0.53,-6.81,12.35,1.0--1.1,151.53,0.14
7,2023-02-09,MSI,V,2001 CC21,16:32--16:50,38.74,1.62,1.62,0.73,-2.77,12.94,1.2--1.2,151.33,0.14
13,2023-02-11,FAPOL,V,2001 CC21,23:30--23:47,42.45,1.87,1.89,0.43,-4.51,6.45,1.1--1.1,144.29,0.14
1,2023-02-15,MSI,R,2001 CC21,13:05--13:28,48.45,2.06,2.09,0.5,-5.24,6.87,1.0--1.1,133.45,0.14
11,2023-02-15,MSI,V,2001 CC21,13:55--14:29,48.52,2.85,2.92,0.56,5.95,5.54,1.1--1.1,133.33,0.14
5,2023-02-17,MSI,R,2001 CC21,12:03--14:52,51.89,2.53,2.53,0.12,0.93,1.4,1.0--1.2,127.4,0.14
3,2023-02-17,MSI,V,2001 CC21,13:06--16:08,51.98,2.75,2.76,0.17,-1.79,1.76,1.1--1.3,127.25,0.14
2,2023-02-26,MSI,V,2001 CC21,18:28--19:28,67.9,4.6,4.61,1.16,-0.88,7.19,2.4--2.8,100.29,0.13
12,2023-02-26,FAPOL,V,2001 CC21,20:42--20:59,68.02,4.13,4.13,0.19,-1.3,1.33,1.2--1.2,100.1,0.13
0,2023-02-26,MSI,R,2001 CC21,16:40--16:53,67.74,3.24,3.28,1.18,-4.69,10.34,1.8--1.9,100.54,0.13
4,2023-03-04,MSI,R,2001 CC21,14:15--15:20,78.0,4.64,4.66,0.88,-2.46,5.38,1.5--1.8,84.65,0.13
10,2023-03-04,MSI,V,2001 CC21,11:56--13:48,77.84,5.5,5.51,1.33,1.71,6.9,1.2--1.5,84.88,0.13
17,2023-03-05,FAPOL,V,2001 CC21,20:35--20:43,80.15,5.69,5.69,0.39,0.79,1.96,1.3--1.3,81.51,0.13
16,2023-03-13,FAPOL,V,2001 CC21,21:07--21:07,94.43,6.01,6.02,0.48,-0.48,2.28,1.5--1.5,62.62,0.13
15,2023-03-16,FAPOL,V,2001 CC21,20:24--20:41,99.94,6.22,6.33,0.63,-5.41,2.86,1.5--1.5,56.13,0.13
