filename,Object,Type,DATE,UT,JD,Filter,alpha [deg],P [%],P_cor [%],Pr [%],eP [%],theta_r,eTheta,q,ran_q,sys_q,eq,u,ran_u,sys_u,eu,theta,AIRMASS,Aper_radius [pix],Aper_scale,FWHM_e,FWHM_o,P_ran [%],P_sys [%],PsANG [deg],SNR,delta,r,EXPTIME,flag,Type,eff_cor,inst_cor,off_cor,INSROT
msi230217_806570 ~ 806573.fits,2001 CC21,Ast,2023-02-17,12:03,2459993.0023096064,Rc,51.8,4.74,4.0,3.82,2.54,-8.52,18.18,0.025,0.0296,0.0001,0.0296,0.0402,0.0235,0.0001,0.0235,29.06,1.04,6.9,2.4,5.55,5.72,2.54,0.01,127.58,128.8,0.14,1.07,90.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
msi230217_806578 ~ 806581.fits,2001 CC21,Ast,2023-02-17,12:18,2459993.0128200212,Rc,51.81,3.53,2.49,2.49,2.51,-1.59,28.83,0.011,0.0303,0.0001,0.0303,0.0336,0.0244,0.0001,0.0244,35.96,1.04,7.6,2.4,5.8,6.32,2.51,0.01,127.55,148.4,0.14,1.07,90.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
msi230217_806582 ~ 806585.fits,2001 CC21,Ast,2023-02-17,12:25,2459993.0180425337,Rc,51.82,2.72,2.68,2.55,0.43,8.9,4.63,-0.0014,0.0043,0.0001,0.0043,0.0271,0.0043,0.0001,0.0043,46.43,1.0474999999999999,7.3,2.4,5.95,6.08,0.43,0.01,127.53,291.3,0.14,1.07,90.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
msi230217_806586 ~ 806589.fits,2001 CC21,Ast,2023-02-17,12:32,2459993.0227070316,Rc,51.83,2.74,2.7,2.66,0.43,5.23,4.59,0.0021,0.0044,0.0001,0.0044,0.0273,0.0043,0.0001,0.0043,42.75,1.05,7.8,2.4,6.37,6.46,0.43,0.01,127.52,283.9,0.14,1.07,90.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
msi230217_806590 ~ 806593.fits,2001 CC21,Ast,2023-02-17,12:39,2459993.0274703437,Rc,51.84,2.13,2.09,2.09,0.39,1.89,5.36,0.0041,0.0039,0.0001,0.0039,0.0209,0.0039,0.0001,0.0039,39.39,1.05,7.0,2.4,5.64,5.81,0.39,0.01,127.5,323.7,0.14,1.07,90.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
msi230217_806594 ~ 806597.fits,2001 CC21,Ast,2023-02-17,12:46,2459993.0321522,Rc,51.85,3.1,3.08,3.07,0.38,-1.2,3.55,0.0093,0.0039,0.0001,0.0039,0.0296,0.0038,0.0001,0.0038,36.29,1.05,6.7,2.4,5.55,5.57,0.38,0.01,127.49,328.6,0.14,1.07,90.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
msi230217_806598 ~ 806601.fits,2001 CC21,Ast,2023-02-17,12:53,2459993.036839555,Rc,51.86,2.17,2.13,2.03,0.38,8.94,5.05,-0.0011,0.0039,0.0001,0.0039,0.0216,0.0038,0.0001,0.0038,46.41,1.0575,6.8,2.4,5.54,5.65,0.38,0.01,127.47,326.6,0.14,1.07,90.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
msi230217_806602 ~ 806605.fits,2001 CC21,Ast,2023-02-17,13:00,2459993.04171412,Rc,51.86,2.94,2.91,2.91,0.37,1.8,3.63,0.0058,0.0037,0.0001,0.0037,0.0288,0.0037,0.0001,0.0037,39.26,1.06,6.2,2.4,5.06,5.18,0.37,0.01,127.46,346.6,0.14,1.07,90.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
msi230217_806634 ~ 806637.fits,2001 CC21,Ast,2023-02-17,14:09,2459993.08972743,Rc,51.95,2.18,2.12,2.12,0.52,-0.46,7.02,0.0061,0.0052,0.0001,0.0052,0.021,0.0052,0.0001,0.0052,36.84,1.1125,6.3,2.4,5.26,5.26,0.52,0.01,127.3,243.5,0.14,1.07,120.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
msi230217_806638 ~ 806641.fits,2001 CC21,Ast,2023-02-17,14:17,2459993.095770109,Rc,51.96,2.94,2.89,2.59,0.54,-13.06,5.34,0.0195,0.0053,0.0001,0.0053,0.022,0.0054,0.0001,0.0054,24.22,1.1225,6.4,2.4,5.28,5.22,0.54,0.01,127.28,238.2,0.14,1.07,120.0,,Ast,"(0.995, 0.0001)","(0.005841, 0.000109, 0.007512, 0.000108)","(17.09, 0.52)",179.48
