filename,Object,Type,DATE,UT,JD,Filter,alpha [deg],P [%],P_cor [%],Pr [%],eP [%],theta_r,eTheta,q,ran_q,sys_q,eq,u,ran_u,sys_u,eu,theta,AIRMASS,Aper_radius [pix],P_ran [%],P_sys [%],PsANG [deg],delta,r,EXPTIME,flag,Type,eff_cor,inst_cor,off_cor,INSROT
msi230217_806606 ~ 806609.fits,2001 CC21,Ast,2023-02-17,13:06,2459993.046494210,V,51.87,2.63,2.58,2.58,0.51,-1.99,5.67,0.0086,0.0051,0.0002,0.0051,0.0249,0.0051,0.0002,0.0051,35.45,1.06,5.2,0.51,0.02,127.44,0.14,1.07,90.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230217_806610 ~ 806613.fits,2001 CC21,Ast,2023-02-17,13:15,2459993.0522187500,V,51.88,3.49,3.46,3.44,0.47,-2.99,3.85,0.0126,0.0046,0.0002,0.0046,0.0326,0.0047,0.0002,0.0047,34.43,1.0675000000000000,5.3,0.46,0.02,127.42,0.14,1.07,120.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230217_806614 ~ 806617.fits,2001 CC21,Ast,2023-02-17,13:24,2459993.0585551200,V,51.9,3.54,3.5,3.5,0.52,-0.51,4.23,0.0099,0.0052,0.0002,0.0052,0.034,0.0052,0.0002,0.0052,36.89,1.0725,5.4,0.52,0.02,127.4,0.14,1.07,120.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230217_806618 ~ 806621.fits,2001 CC21,Ast,2023-02-17,13:33,2459993.0646507500,V,51.9,1.95,1.87,1.82,0.58,6.6,8.9,0.0007,0.0058,0.0002,0.0058,0.0195,0.0058,0.0002,0.0058,43.98,1.08,5.4,0.58,0.02,127.38,0.14,1.07,120.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230217_806622 ~ 806625.fits,2001 CC21,Ast,2023-02-17,13:42,2459993.0711315100,V,51.92,3.14,3.06,3.01,0.69,5.36,6.48,0.0025,0.0068,0.0002,0.0068,0.0313,0.0069,0.0002,0.0069,42.72,1.0875,5.6,0.69,0.02,127.36,0.14,1.07,120.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230217_806626 ~ 806629.fits,2001 CC21,Ast,2023-02-17,13:51,2459993.0773719600,V,51.93,4.05,3.97,2.96,0.81,-20.86,5.82,0.034,0.008,0.0002,0.008,0.022,0.0081,0.0002,0.0081,16.48,1.0950000000000000,5.4,0.8,0.02,127.34,0.14,1.07,120.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230217_806630 ~ 806633.fits,2001 CC21,Ast,2023-02-17,14:00,2459993.0834968200,V,51.94,2.95,2.86,2.83,0.74,-3.75,7.47,0.0115,0.0074,0.0002,0.0074,0.0272,0.0074,0.0002,0.0075,33.57,1.1025,5.5,0.74,0.02,127.32,0.14,1.07,120.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230217_806668 ~ 806671.fits,2001 CC21,Ast,2023-02-17,15:05,2459993.1291300600,V,52.02,2.78,2.72,2.72,0.6,-0.13,6.27,0.0076,0.0058,0.0002,0.0058,0.0268,0.006,0.0002,0.006,37.05,1.19,5.4,0.6,0.02,127.18,0.14,1.07,150.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230217_806672 ~ 806675.fits,2001 CC21,Ast,2023-02-17,15:24,2459993.14197772,V,52.04,1.86,1.8,1.72,0.49,8.27,7.83,-0.0003,0.0048,0.0002,0.0048,0.0186,0.0049,0.0002,0.0049,45.41,1.2200000000000000,4.6,0.49,0.02,127.14,0.14,1.07,150.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
msi230217_806676 ~ 806679.fits,2001 CC21,Ast,2023-02-17,15:35,2459993.149502610,V,52.05,3.56,3.47,3.47,0.79,0.81,6.48,0.0087,0.0074,0.0002,0.0074,0.0345,0.0079,0.0002,0.0079,37.92,1.24,4.7,0.79,0.02,127.11,0.14,1.07,150.0,,Ast,"(0.9959, 0.0002)","(0.00785, 0.000199, 0.010769, 0.000186)","(20.61, 0.26)",179.48
