wave,I
0.500038,1.0629123
0.500334,1.0094395
0.50063,0.96635732
0.500926,0.91762523
0.501222,1.0323038
0.501518,0.90050835
0.501814,0.93008873
0.50211,0.89325919
0.502406,0.96348643
0.502702,0.91492276
0.502998,0.9424833
0.503294,0.94050418
0.50359,0.86567641
0.503886,0.86213257
0.504182,0.93602401
0.504478,0.94170877
0.504774,0.92725261
0.50507,0.89008878
0.505366,0.88994259
0.505662,0.93149791
0.505958,0.95527871
0.506254,0.94199127
0.50655,0.9614841
0.506846,0.93711806
0.507142,0.89161273
0.507438,0.91435595
0.507734,0.97610374
0.50803,0.96513779
0.508326,0.89265866
0.508622,0.94199127
0.508918,0.94002818
0.509214,0.89151879
0.50951,0.93711806
0.509806,0.90230271
0.510102,0.8939499
0.510398,0.87459708
0.510694,0.90150939
0.51099,0.88888309
0.511286,0.9614841
0.511582,0.87885908
0.511878,0.90933194
0.512174,0.99103758
0.51247,0.86879228
0.512766,0.91706785
0.513062,0.93082967
0.513358,0.91663361
0.513654,0.89690919
0.51395,0.9210595
0.514246,0.93176722
0.514542,0.96057933
0.514838,0.95515136
0.515134,0.95846347
0.51543,0.95012799
0.515726,0.97407829
0.516022,0.91696242
0.516318,0.97346347
0.516614,0.95170564
0.51691,0.92719102
0.517206,0.97444154
0.517502,0.93072338
0.517798,0.93728079
0.518094,0.9614841
0.51839,0.98097694
0.518686,0.94025052
0.518982,1.0058787
0.519278,0.90724284
0.519574,1.0167568
0.51987,1.0064395
0.520166,0.95617954
0.520462,0.94583947
0.520758,0.9583215
0.521054,1.0040386
0.52135,0.8986658
0.521646,0.99730165
0.521942,1.0082223
0.522238,1.0031514
0.522534,0.99840501
0.52283,0.98099165
0.523126,0.94758873
0.523422,0.96620251
0.523718,0.99595616
0.524014,0.91925574
0.52431,0.93297392
0.524606,0.9508309
0.524902,0.95564405
0.525198,0.93438309
0.525494,0.94694259
0.52579,0.99181002
0.526086,0.92979332
0.526382,0.92416701
0.526678,0.95119415
0.526974,0.94798373
0.52727,0.99316493
0.527566,0.91751357
0.527862,0.97144363
0.528158,0.98602818
0.528454,0.9710334
0.52875,0.97156263
0.529046,1.0162359
0.529342,0.90110856
0.529638,0.97610374
0.529934,0.91517537
0.53023,0.95101357
0.530526,1.0088633
0.530822,1.025177
0.531118,0.98263466
0.531414,0.95258455
0.53171,0.91871816
0.532006,0.99853132
0.532302,0.9631785
0.532598,1.0116983
0.532894,0.96855219
0.53319,1.0144557
0.533486,0.99072336
0.533782,0.9713643
0.534078,0.9958309
0.534374,1.0179363
0.53467,1.0212296
0.534966,1.015024
0.535262,0.99617223
0.535558,1.0158695
0.535854,0.91556472
0.53615,0.96257933
0.536446,1.0228434
0.536742,1.0327432
0.537038,0.984381
0.537334,1.0203079
0.53763,1.0237401
0.537926,1.0061493
0.538222,0.97729228
0.538518,0.97916806
0.538814,0.99497912
0.53911,0.98819624
0.539406,1.0187442
0.539702,0.98114718
0.539998,0.99703027
0.540294,0.94929854
0.54059,1.0296889
0.540886,1.0162516
0.541182,0.99416597
0.541478,1.0048894
0.541774,0.9565428
0.54207,0.96333716
0.542366,0.93580689
0.542662,0.97800731
0.542958,1.0047975
0.543254,0.98051044
0.54355,0.92838309
0.543846,0.91699478
0.544142,1.0229175
0.544438,0.95210334
0.544734,0.99471921
0.54503,0.99541649
0.545326,0.98612735
0.545622,0.96960125
0.545918,1.0073424
0.546214,0.95306263
0.54651,0.9593309
0.546806,0.96458768
0.547102,0.95323173
0.547398,0.99106472
0.547694,0.95000939
0.54799,0.93731211
0.548286,0.98107203
0.548582,0.98637474
0.548878,0.98147286
0.549174,1.0514092
0.54947,0.95573069
0.549766,1.0094342
0.550062,1.0148205
0.550358,1.0230327
0.550654,1.0159395
0.55095,0.95392797
0.551246,0.99780167
0.551542,1.0158653
0.551838,0.99276514
0.552134,1.0382714
0.55243,1.0533612
0.552726,1.0560856
0.553022,1.0391722
0.553318,1.0384248
0.553614,1.0126889
0.55391,1.005343
0.554206,1.005343
0.554502,1.0358983
0.554798,1.033754
0.555094,1.0401868
0.55539,1.018786
0.555686,1.0182443
0.555982,0.97368998
0.556278,1.0179426
0.556574,0.97729958
0.55687,1.0349916
0.557166,0.97040605
0.557462,0.96548121
0.557758,1.0309332
0.558054,1.0173633
0.55835,1.0032985
0.558646,1.0068278
0.558942,0.99020668
0.559238,1.0039468
0.559534,1.0335188
0.55983,1.0348789
0.560126,1.0323685
0.560422,1.0227255
0.560718,1.0359301
0.561014,1.0519102
0.56131,1.0088685
0.561606,0.98635282
0.561902,1.0132411
0.562198,0.96437056
0.562494,1.0180167
0.56279,1.0020292
0.563086,0.98549165
0.563382,1.0119593
0.563678,1.0142526
0.563974,0.98951357
0.56427,0.99778914
0.564566,0.97348121
0.564862,0.99823695
0.565158,1.0238038
0.565454,0.98368894
0.56575,1.0112954
0.566046,1.0101672
0.566342,1.0530523
0.566638,0.98102192
0.566934,0.9901952
0.56723,0.99025157
0.567526,1.0149635
0.567822,0.98841336
0.568118,0.9968382
0.568414,1.026215
0.56871,1.0274739
0.569006,0.99734551
0.569302,0.98620459
0.569598,1.0200021
0.569894,1.0255104
0.57019,1.0279802
0.570486,1.0215971
0.570782,1.0098382
0.571078,1.042834
0.571374,1.0770459
0.57167,0.99946347
0.571966,1.0551966
0.572262,1.0340564
0.572558,1.0549896
0.572854,1.0365104
0.57315,1.0494154
0.573446,1.0313507
0.573742,1.0425449
0.574038,1.0655846
0.574334,1.0419624
0.57463,1.0321514
0.574926,1.038238
0.575222,1.0551966
0.575518,1.0526931
0.575814,1.039429
0.57611,0.98704384
0.576406,1.0728184
0.576702,0.98344468
0.576998,1.0081013
0.577294,1.0100898
0.57759,0.97915344
0.577886,1.0227839
0.578182,1.0420939
0.578478,1.0236628
0.578774,1.043096
0.57907,1.0321775
0.579366,1.0286785
0.579662,1.024595
0.579958,1.0237516
0.580254,1.0245094
0.58055,1.0159248
0.580846,1.0451044
0.581142,1.0391305
0.581438,1.0795407
0.581734,0.99511482
0.58203,0.98372338
0.582326,0.99908664
0.582622,1.0285741
0.582918,1.0124332
0.583214,1.035167
0.58351,1.0517015
0.583806,1.0504802
0.584102,1.0322119
0.584398,1.0140574
0.584694,1.0201033
0.58499,1.0108653
0.585286,1.0068466
0.585582,0.99763987
0.585878,1.0212255
0.586174,1.0391232
0.58647,1.0099436
0.586766,1.0723506
0.587062,1.0478601
0.587358,1.0584134
0.587654,1.0797077
0.58795,1.0829228
0.588246,1.0446347
0.588542,1.0516597
0.588838,1.0851044
0.589134,1.0618058
0.58943,1.0201889
0.589726,1.0467015
0.590022,1.0533403
0.590318,1.0113372
0.590614,1.0131127
0.59091,1.0553967
0.591206,1.0238006
0.591502,1.0547912
0.591798,1.0339697
0.592094,1.0822234
0.59239,1.0744949
0.592686,1.0405971
0.592982,1.0355052
0.593278,1.0662317
0.593574,1.0384802
0.59387,1.0500626
0.594166,1.0119593
0.594462,1.0352683
0.594758,1.0706159
0.595054,1.058977
0.59535,1.0180104
0.595646,1.0199134
0.595942,1.0540501
0.596238,1.0692067
0.596534,1.0498121
0.59683,1.050261
0.597126,1.0324071
0.597422,1.0181514
0.597718,1.0273213
0.598014,1.0243664
0.59831,1.0716388
0.598606,1.0897808
0.598902,1.0735177
0.599198,1.0251608
0.599494,1.0744259
0.59979,1.0352891
0.600086,1.0032495
0.600382,1.0723506
0.600678,1.0637736
0.600974,1.066618
0.60127,1.0658246
0.601566,1.042524
0.601862,1.0397401
0.602158,1.0379061
0.602454,1.0523486
0.60275,1.008762
0.603046,1.0094896
0.603342,1.0353528
0.603638,1.0974008
0.603934,1.0689562
0.60423,1.0432234
0.604526,1.0476305
0.604822,1.0292474
0.605118,1.0339322
0.605414,1.0242547
0.60571,1.0601357
0.606006,1.0756994
0.606302,1.0508351
0.606598,1.0447912
0.606894,1.0552296
0.60719,1.053142
0.607486,1.029453
0.607782,1.0412432
0.608078,1.0101211
0.608374,1.0368894
0.60867,1.0581524
0.608966,1.1047495
0.609262,1.0488309
0.609558,1.0321576
0.609854,1.0797599
